Food Code,Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Glucose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Cholesterol (mg)
14-132,Limes# flesh only# weighed with peel and pips,0.5,0.2,0.6,6,0,0.6,0.2,0.2,0.1,0,0,,N,,Tr,Tr,0.1,0
16-091,Ling# raw,18.8,0.7,0,82,0,0,0,0,0,0,0,,0,,N,N,N,N
17-768,Liqueurs# cream,3,13,21.8,305,Tr,21.8,0,0,21,0,0.8,13.5,0,0,8.2,3,0.46,N
17-244,Liqueurs# high strength,Tr,0,24.4,314,0,24.4,2.6,2.3,17.1,2.4,0,31.8,0,0,0,0,0,0
17-245,Liqueurs# low-medium strength,Tr,0,32.8,262,0,32.8,6.3,6.1,20.4,0,0,19.8,0,0,0,0,0,0
17-777,Liquorice allsorts,3.7,5.2,76.7,349,9.4,62.4,5.9,2.5,51.1,2.9,Tr,0,2,N,3.6,1.2,0.2,0
13-833,Liquorice powder,6.3,1.7,N,N,N,N,N,N,N,0,0,,N,,N,N,N,0
19-603,Liver and bacon# fried# homemade,28.9,14.7,Tr,247,Tr,0,0,0,Tr,0,0,,Tr,Tr,N,N,N,332.8
19-604,Liver and onions# stewed# homemade,14.7,6.9,5.4,142,Tr,4.3,1.6,1.2,1.5,0,0,0,1,1.5,1.34,2.75,1.41,297.2
19-106,Liver sausage,13.4,16.7,6,226,5,1,1,0,0,0,0,0,0.7,N,5.3,5.7,2.3,115
18-410,Liver# calf# fried in corn oil,22.3,9.6,Tr,176,0,0,0,0,0,0,0,0,0,0,N,N,N,330
18-409,Liver# calf# raw,18.3,3.4,Tr,104,0,0,0,0,0,0,0,0,0,,1,0.6,0.8,370
18-412,Liver# chicken# fried in corn oil,22.1,8.9,Tr,169,0,0,0,0,0,0,0,0,0,0,N,N,N,350
18-411,Liver# chicken# raw,17.7,2.3,Tr,92,0,0,0,0,0,0,0,0,0,,0.7,0.5,0.4,380
18-494,Liver# lamb# fried in corn oil,30.1,12.9,Tr,237,0,0,0,0,0,0,0,0,0,0,N,N,N,400
18-413,Liver# lamb# raw,20.3,6.2,Tr,137,0,0,0,0,0,0,0,0,0,,1.7,1.8,0.9,430
18-415,Liver# ox# raw,21.1,7.8,Tr,155,0,0,0,0,0,0,0,0,0,,2.9,1.3,1.6,270
18-416,Liver# ox# stewed,24.8,9.5,3.6,198,3.6,Tr,Tr,Tr,Tr,Tr,0,0,0,0,3.5,1.5,2,240
18-417,Liver# pig# raw,21.3,3.1,Tr,113,0,0,0,0,0,0,0,0,0,,1,0.5,0.9,260
18-418,Liver# pig# stewed,25.6,8.1,3.6,189,3.6,0,0,0,0,0,0,0,0,0,2.5,1.3,2.2,290
16-332,Lobster# boiled,22.1,1.6,Tr,103,Tr,Tr,0,0,0,0,0,0,0,,0.2,0.3,0.6,110
16-343,Lobster# boiled# weighed with shell,8,0.6,Tr,37,Tr,Tr,0,0,0,0,0,0,0,,0.1,0.1,0.2,40
14-133,Loganberries# raw,1.1,Tr,3.4,17,0,3.4,1.9,1.3,0.2,0,0,,2.5,,N,N,N,0
14-134,Loganberries# stewed with sugar,0.8,Tr,12.5,50,0,12.5,2,1.5,9,0,0,,2,,Tr,Tr,Tr,0
14-135,Loganberries# stewed without sugar,0.9,Tr,2.9,14,0,2.9,1.6,1.1,0.2,0,0,,2.1,,Tr,Tr,Tr,0
12-390,Lollies# containing ice-cream,1.4,3.8,20.9,118,0,20.9,2.9,0.4,12.6,0,5,0,Tr,Tr,2.07,1.24,0.33,4.1
12-389,Lollies# with real fruit juice,0.1,0.3,18.6,73,0,17.8,1,0.9,15.9,0,0,0,Tr,Tr,N,N,N,N
14-138,Longans# canned in syrup# drained,0.4,0.3,17.1,67,0.1,17,N,N,N,0,0,,N,,0.1,0.1,0.1,0
14-139,Longans# canned in syrup# whole contents,0.3,0.2,16.5,63,0.1,16.4,N,N,N,0,0,,N,,Tr,0.1,0.1,0
14-137,Longans# flesh only# dried,4.9,0.4,72,286,0.5,71.5,N,N,N,0,0,,N,,0.1,0.1,0.1,0
14-140,Loquats# flesh only# raw,0.7,0.2,6.3,28,0,6.3,2.7,3,0.6,0,0,,N,,Tr,0.1,0.1,0
13-271,Lotus tubers# raw,2.1,0.1,11,51,5.5,5.5,N,N,N,0,0,,N,,Tr,Tr,Tr,0
17-761,Lucozade,Tr,0,16,60,Tr,11.1,N,N,N,N,0,0,0,0,0,0,0,0
19-136,Luncheon meat# Chinese# steamed,11.9,22.3,10.5,288,N,N,,,,,,0,Tr,,N,N,N,N
14-143,Lychees# flesh only# raw# weighed with skin and stone,0.5,0.1,8.9,36,0,8.9,4.3,4.5,Tr,0,0,0,0.4,,Tr,Tr,Tr,0
14-142,Lychees# raw# flesh only,0.9,0.1,14.3,58,0,14.3,7,7.3,Tr,0,0,0,0.7,N,Tr,Tr,Tr,0
14-891,Macadamia nuts# salted,7.9,77.6,4.8,748,0.8,4,0.1,0.1,3.8,0,0,0,5.3,N,11.2,60.8,1.6,0
11-954,Macaroni cheese# homemade,7.8,8.6,19.8,183,16.9,2.8,0,0,0.1,0.3,2.4,,0.8,1.1,4.47,2.72,0.7,16.9
12-951,Macaroon# homemade,9.9,17.8,64,442,4.1,62,Tr,Tr,62,0,0,,2.4,N,1.41,12.18,3.34,0
13-834,Mace# ground,6.7,32.4,N,N,N,N,N,N,N,0,0,,N,,9.5,11.2,4.4,0
16-394,Mackerel# flesh only# grilled,20.3,22.4,0,283,0,0,0,0,0,0,0,0,0,0,5.1,8.31,5.36,75
16-479,Mackerel# flesh only# grilled# fillets weighed with bones and skin,19.9,22,0,278,0,0,0,0,0,0,0,0,0,0,5,8.14,5.25,73.5
16-393,Mackerel# flesh only# raw,18,17.9,0,233,0,0,0,0,0,0,0,0,0,0,3.85,6.69,4.46,60
16-414,Mackerel# flesh only# smoked,21.1,24.1,0,301,0,0,0,0,0,0,0,,0,0,5.04,9.35,6.14,63
17-651,Maltesers and similar products,7.6,23.3,63,476,7.5,55.5,2.3,Tr,36.9,2.1,14.2,0,0.4,1.7,14.16,7.01,0.96,11.7
14-145,Mammie apple# flesh only,0.5,0.4,14.4,60,Tr,14.4,N,N,N,0,0,,N,,N,N,N,0
14-146,Mandarin oranges# canned in juice# whole contents,0.7,Tr,7.7,32,0,7.7,2.8,3.1,1.8,0,0,0,0.3,N,Tr,Tr,Tr,0
13-273,Mango# unripe# green flesh# raw,0.5,0.2,11.2,46,5.6,5.6,3.5,2,0.1,0,0,,2.9,,0.1,Tr,Tr,0
14-378,Mangoes# ripe# flesh only# raw,0.7,0.6,10.7,48,0.3,10.4,1,3.4,6,0,0,0,2.6,1.1,0.15,0.22,0.11,0
14-379,Mangoes# ripe# flesh only# raw# weighed with skin and stone,0.4,0.4,6.7,30,0.2,6.5,0.6,2.1,3.8,0,0,0,1.6,0.7,0.09,0.14,0.07,0
14-151,Mangosteen# flesh only,0.6,0.5,16.4,73,0.3,16.1,N,N,N,0,0,,N,,N,N,N,0
13-835,Marjoram# dried,12.7,7,42.5,271,N,N,N,N,N,0,0,,N,,N,N,N,0
17-078,Marmalade,0.1,0,69.5,261,0,69.5,27.6,15,18.8,8,0,0,0.3,0.5,0,0,0,0
13-276,Marrow# boiled in unsalted water,0.4,0.2,1.6,9,0.2,1.4,0.5,0.7,0.1,0,0,0,0.6,,Tr,Tr,Tr,0
13-277,Marrow# parwal# raw,1.6,Tr,2.1,14,1.3,0.8,N,N,N,0,0,,N,,Tr,Tr,Tr,0
13-274,Marrow# raw,0.5,0.2,2.2,12,0.1,2.1,0.8,1.1,0.2,0,0,0,0.5,,Tr,Tr,Tr,0
17-668,Mars bar and own brand equivalents,4.1,15.3,66.6,404,3.3,63.3,7.8,0.3,38.7,7.8,8.7,0,0.8,1.5,7.31,6.4,0.81,9.7
17-114,Marshmallows,3.9,0,83.1,327,4.5,64.5,12.1,0.7,41.5,10.2,Tr,0,0,0,0,0,0,0
14-893,Marzipan# homemade,10.4,25.7,50.1,460,1.5,48.7,0,0,48.6,0,0,,3.3,N,2.17,17.36,4.79,26.1
14-875,Marzipan# white and yellow# retail,5.3,12.7,67.6,389,0,67.6,2.7,1.1,62.2,1.6,0,0,1.9,2.4,1.03,7.99,3.13,0
13-588,Matoki# boiled in unsalted water,1.3,0.2,22.3,91,21.7,0.6,Tr,Tr,0.6,0,0,0,1.5,N,0.1,Tr,0.1,0
13-279,Matoki# raw,1.2,0.2,22.3,90,21.5,0.9,0.1,0.1,0.7,0,0,,1.5,,0.1,Tr,0.1,0
17-809,Mayonnaise# homemade,1.7,84.2,0.1,786,0,0.1,Tr,Tr,Tr,0,0,,Tr,Tr,12.2,61.14,7.01,44
17-679,Mayonnaise# reduced fat,1,28.1,8.2,288,3.6,4.6,1.1,1,2.5,0,0,0,0,0,2.12,17.11,7.49,21.7
17-654,Mayonnaise# standard# retail,1.1,74.8,2.4,686,Tr,2.4,0.3,0.4,1.7,Tr,Tr,,0,0,5.65,45.55,19.93,57.2
15-822,Mchicha# homemade,3.6,4.7,4,73,0.1,3,1.1,1,0.9,0,0,0,3.3,N,0.35,2.23,1.63,0
19-605,Meat loaf# homemade,16.6,10.9,12.7,213,10.7,1.5,N,N,N,0.6,Tr,,0.5,0.4,4.01,4.45,1.03,70.4
19-326,Meat samosas# takeaway,11.4,17.3,18.9,272,16.8,1.9,Tr,0.5,Tr,1.4,Tr,0,2.4,N,4.45,7.04,4.77,19.7
19-506,Meat spread,15.7,13.4,2.3,192,2.1,0.2,0.1,0,0.1,0,0,0,N,2.2,5.5,5.8,1.2,62
19-613,Meatballs# pork and beef# in tomato sauce# homemade,10,7.2,4.6,123,1.6,2.8,1.1,1.4,0.1,0.1,0,,0.8,0.9,2.69,2.99,0.79,41.4
14-152,Medlars# flesh only,0.5,Tr,10.6,42,0,10.6,N,N,N,0,0,,N,,Tr,Tr,Tr,0
14-826,Melon seeds,28.5,47.7,9.9,583,N,N,N,N,N,0,0,,N,,12,8.3,26.2,0
14-339,Melon# Canteloupe-type# flesh only,0.6,0.1,4.2,19,0,4.2,1.8,2.2,0.1,0,0,0,1,1.8,Tr,Tr,Tr,0
14-352,Melon# Canteloupe-type# flesh only# weighed whole,0.4,0.1,2.5,12,0,2.5,1.1,1.3,0.1,0,0,0,0.6,1.1,Tr,Tr,Tr,0
14-353,Melon# Canteloupe-type# flesh only# weighed with skin,0.4,0.1,2.8,13,0,2.8,1.2,1.5,0.1,0,0,0,0.7,1.2,Tr,Tr,Tr,0
14-354,Melon# flesh only# average,0.5,0.1,5.5,24,0,5.5,1.7,2.2,1.6,0,0,,0.6,1.3,Tr,Tr,0.05,0
14-355,Melon# flesh only# average# weighed whole,0.3,0.1,3.5,15,0,3.5,1.1,1.4,1,0,0,0,0.4,0.8,Tr,Tr,0.03,0
14-356,Melon# flesh only# average# weighed with skin,0.3,0.1,3.7,16,0,3.7,1.1,1.5,1.1,0,0,0,0.4,0.9,Tr,Tr,0.03,0
14-159,Melon# Galia# flesh only,0.5,0.1,5.6,24,0,5.6,1.6,2,2,0,0,0,0.4,N,Tr,Tr,Tr,0
14-160,Melon# Galia# flesh only# weighed whole,0.3,0.1,3.6,16,0,3.6,1,1.3,1.3,0,0,,0.3,,Tr,Tr,Tr,0
14-161,Melon# Galia# flesh only# weighed with skin,0.3,0.1,3.8,16,0,3.8,1.1,1.4,1.4,0,0,0,0.3,,Tr,Tr,Tr,0
14-357,Melon# Honeydew# flesh only# weighed whole,0.3,0.1,4,17,0,4,1,1.5,1.5,0,0,0,0.2,0.4,0.02,Tr,0.03,0
14-358,Melon# Honeydew# flesh only# weighed with skin,0.3,0.1,4.3,18,0,4.3,1.1,1.6,1.6,0,0,0,0.2,0.4,0.02,Tr,0.03,0
14-296,Melon# watermelon# flesh only,0.5,0.3,7.1,31,0,7.1,1.3,2.3,3.4,0,0,0,0.1,N,0.1,0.1,0.1,0
14-309,Melon# watermelon# flesh only# weighed whole,0.3,0.2,4,18,0,4,0.7,1.3,1.9,0,0,0,0.1,,Tr,0.1,0.1,0
14-328,Melon# yellow flesh# flesh only,0.5,0.1,6.8,29,0,6.8,1.7,2.5,2.6,0,0,0,0.4,0.7,0.03,Tr,0.05,0
12-517,Meringue# homemade,6.3,Tr,96,385,0,96,Tr,0,96,0,0,0,0,0,Tr,Tr,Tr,0
12-585,Meringue# with cream# homemade,2.9,24.2,27.2,331,0,27.2,Tr,0,25.6,0,1.6,,0,0,15.14,7.01,0.68,63
15-628,Methi aloo# homemade,2.7,10.4,10.1,142,8.6,1.5,0.6,0.7,0.2,0,0,0,1.3,2.9,1.06,4.89,3.88,4.7
11-1091,Milk bread# homemade,8.8,7,50.8,289,48.7,2.1,Tr,Tr,0.2,Tr,1.8,,1.9,2,2.47,2.82,1.12,3.1
12-513,Milk drink# fermented# with probiotics,3,1.2,12.7,70,0.4,12.3,N,N,N,N,N,0,N,0.1,0.78,N,N,N
17-733,Milk shake# powder,1.3,1.6,98.3,388,Tr,98.3,0.1,0,95.2,2.8,0.2,0,0,0,N,N,N,Tr
12-589,Milk shake# powder# made up with semi-skimmed milk,3.3,1.7,11.2,70,Tr,11.2,0,0,6.6,0.2,4.4,0,0,0,N,N,N,5.5
12-590,Milk shake# powder# made up with skimmed milk,3.3,0.3,11.3,59,Tr,11.3,0,0,6.6,0.2,4.4,0,0,0,N,N,N,3.4
12-591,Milk shake# powder# made up with whole milk,3.3,3.5,11.1,86,Tr,11.1,0,0,6.6,0.2,4.2,0,0,0,N,N,N,11.2
12-512,Milk# 1% fat# pasteurised,3.5,1,4.8,41,0,4.8,0,0,0,0,4.8,0,0,0,0.6,0.23,0.04,4.8
12-321,Milk# Channel Islands# whole# pasteurised,3.5,4.7,4.3,72,0,4.3,0,0,0,0,4.3,0,0,0,3.02,1.13,0.16,15.9
12-322,Milk# Channel islands# whole# summer,3.9,4.7,4.1,73,0,4.1,0,0,0,0,4.1,0,0,0,2.99,1.24,0.18,16
12-323,Milk# Channel islands# whole# winter,3.2,4.7,4.4,72,0,4.4,0,0,0,0,4.4,0,0,0,3.25,1.02,0.14,15.7
12-520,Milk# condensed# whole# sweetened,7.4,8,55.5,310,0,55.5,0,0,43.2,0,12.3,0,0,0,4.99,2.3,0.24,29
12-324,Milk# evaporated# light,7.8,4.1,10.3,107,0,10.3,0,0,0,0,10.3,0,0,0,2.5,1.09,0.15,16.9
12-522,Milk# evaporated# whole,8.4,9.4,12.7,166,0,12.7,0,0,0,0,12.7,0,0,0,5.9,2.7,0.3,34
12-535,Milk# flavoured# pasteurised# chocolate,3.6,1.5,11.7,72,0.3,11,Tr,1.7,2.8,1.1,5.5,0,0,0,0.99,0.37,0.05,7
12-326,Milk# flavoured# pasteurised# strawberry# banana,3.6,1.5,9.6,64,0.2,8.9,Tr,Tr,3.9,0.1,4.9,0,0,0,1.02,0.34,0.05,7
12-328,Milk# goats# pasteurised,3.1,3.7,4.4,62,0,4.4,0,0,0,0,4.4,0,0,0,2.37,0.94,0.16,11
12-038,Milk# human# colostrum,2,2.6,6.6,56,0,6.6,0,0,0,0,6.6,0,0,,1.1,1.1,0.3,31
12-536,Milk# human# mature,1.3,4.1,7.2,69,0,7.2,0,0,0,0,7.2,,0,0,1.92,1.47,0.49,16
12-039,Milk# human# transitional,1.5,3.7,6.9,67,0,6.9,0,0,0,0,6.9,0,0,,1.5,1.5,0.5,24
12-313,Milk# semi-skimmed# pasteurised# average,3.5,1.7,4.7,46,0,4.7,0,0,0,0,4.7,0,0,0,1.07,0.4,Tr,5.9
12-418,Milk# semi-skimmed# pasteurised# summer and autumn,3.5,1.7,4.5,46,0,4.5,0,0,0,0,4.5,0,0,0,1.01,0.43,0.08,6
12-419,Milk# semi-skimmed# pasteurised# winter and spring,3.4,1.7,4.9,47,0,4.9,0,0,0,0,4.9,0,0,0,0.98,0.42,0.08,5.7
12-314,Milk# semi-skimmed# UHT,3.3,1.6,4.9,46,0,4.9,0,0,0,0,4.9,0,0,0,1.1,0.4,Tr,7
12-329,Milk# sheeps# raw,5.4,5.8,5.1,93,0,5.1,0,0,0,0,5.1,0,0,0,3.58,1.47,0.34,12
12-521,Milk# skimmed# dried# fortified,36.1,0.6,52.9,348,0,52.9,0,0,0,0,52.9,0,0,0,0.4,0.2,Tr,12
12-307,Milk# skimmed# pasteurised# average,3.5,0.3,4.8,34,0,4.8,0,0,0,0,4.8,0,0,0,0.13,0.06,Tr,3.7
12-308,Milk# skimmed# pasteurised# summer,3.5,0.2,4.4,32,0,4.4,0,0,0,0,4.4,0,0,N,0.1,0.06,Tr,2.6
12-309,Milk# skimmed# pasteurised# winter,3.5,0.2,4.2,32,0,4.2,0,0,0,0,4.2,0,0,0,0.1,0.06,Tr,4.1
12-554,Milk# skimmed# UHT,3.4,0.1,4.9,33,0,4.9,0,0,0,0,4.9,0,0,0,N,N,Tr,2
12-523,Milk# soya# non-dairy alternative to milk# sweetened# fortified,3.1,2.4,2.5,43,0,2.2,0.3,1.2,0.7,0,0,0,0.2,0.5,0.38,0.51,1.39,0
12-524,Milk# soya# non-dairy alternative to milk# unsweetened# fortified,2.4,1.6,0.5,26,0,0.2,0,0,0.2,0,0,0,0.2,0.5,0.24,0.33,1.1,0
12-596,Milk# whole# pasteurised# average,3.4,3.6,4.6,63,0,4.6,0,0,0,0,4.6,0,0,0,2.29,0.96,0.09,12
12-598,Milk# whole# pasteurised# summer and autumn,3.4,3.6,4.1,61,0,4.1,0,0,0,0,4.1,0,0,0,2.29,0.96,0.09,12
12-597,Milk# whole# pasteurised# winter and spring,3.3,3.6,5,64,0,5,0,0,0,0,5,0,0,0,2.29,0.96,0.09,12
12-320,Milk# whole# UHT,3.2,3.9,4.8,66,0,4.8,0,0,0,0,4.8,0,0,0,2.36,1.05,0.1,14
12-327,Milkshake# thick# takeaway,3.7,1.8,15.3,88,0.3,11.1,0.3,4.2,1.4,0.7,4.5,0,Tr,Tr,1.21,0.41,0.06,10.9
17-669,Milky Way and own brand equivalents,3.8,15.7,76.6,444,6.9,69.7,6.5,0.3,47.1,7.5,8.3,0,0.6,1,7.73,6.43,0.74,9.4
11-1092,Mince pies# homemade# individual,4.2,23.5,55.5,436,26.4,29,14.3,14.1,0.3,0.3,Tr,,1.8,N,N,N,N,1.4
11-848,Mince pies# retail,3.8,14.9,60.7,377,25.2,35.5,16.6,11.9,3.4,2.7,0.4,0,1.7,2.6,5.97,5.78,2.23,11.9
17-765,Mincemeat,0.6,4.3,62.1,274,Tr,62.1,30.7,30.8,0.6,Tr,0,0,1.3,N,N,N,N,Tr
17-852,Mincemeat# vegetarian# homemade,1.7,9.5,43.8,306,1.4,42.5,12.5,10.8,15.8,3,0,4.2,1.4,N,4.4,3.05,0.99,0
11-825,Minibreads# toasted# retail,10.5,13.6,68.9,423,65.6,3.3,Tr,Tr,Tr,3.3,Tr,0,2.9,4.2,3.22,7.81,1.86,0
17-707,Mint sauce,1.6,Tr,21.5,101,0,21.5,4.9,4.8,11.8,0,0,0,N,N,Tr,Tr,Tr,0
17-811,Mint sauce# homemade,0.8,0.1,19.4,85,0,N,N,N,N,0,0,,N,N,Tr,Tr,Tr,0
13-837,Mint# dried,24.8,4.6,34.6,279,N,N,N,N,N,0,0,,N,,N,N,N,0
13-836,Mint# fresh,3.8,0.7,5.3,43,N,N,N,N,N,0,0,0,N,N,N,N,N,0
13-886,Mixed curry spices,13.2,13.3,N,N,N,N,N,N,N,0,0,,N,N,N,N,N,0
13-884,Mixed herbs# dried,12.1,8.5,36.3,261,N,N,N,N,N,0,0,0,N,N,N,N,N,0
17-059,Molasses,0,0.1,68.8,266,0,59.4,11.5,12.9,35.1,Tr,0,0,Tr,,Tr,Tr,Tr,0
16-093,Monkfish# flesh only# grilled,22.7,0.6,0,96,0,0,0,0,0,0,0,,0,,0.1,0.1,0.2,20
16-094,Monkfish# flesh only# grilled# weighed with bones,17.5,0.4,0,74,0,0,0,0,0,0,0,,0,,0.1,0.1,0.1,16
16-092,Monkfish# flesh only# raw,15.7,0.4,0,66,0,0,0,0,0,0,0,,0,,0.1,0.1,0.1,14
11-912,Mooli paratha# homemade,5.9,2.3,33.8,171,32,1.8,0.9,0.5,0.3,0.1,0,0,2,4.8,0.41,0.79,0.98,3
19-609,Moussaka# homemade,8.5,8,4.5,128,1.5,2.7,0.9,0.7,0.2,0,0.9,,1,N,3.39,3.13,0.76,38.8
19-507,Moussaka# retail# reheated,8.3,8.3,8.6,140,6.5,2,0.4,0.6,0,0,1,0,0.8,1.9,2.9,3.6,1.1,26
15-734,Moussaka# vegetable# homemade,4.4,8.6,8.7,133,6,2.4,0.7,0.6,0.4,0,0.8,,1.2,N,2.4,3.44,1.44,23.1
15-652,Moussaka# vegetable# retail,5.9,4.9,8,98,3.5,4.5,1,1,0.5,0.9,1.1,0,N,N,N,N,N,N
12-401,Mousse# chocolate# low fat,5.5,3.7,18,123,2.2,15.8,Tr,6.3,3.8,Tr,5.7,0,N,N,2.54,0.87,0.09,0.7
12-402,Mousse# fruit,4.5,6.4,18,143,Tr,18,3.1,2.9,7.6,0.3,3.7,0,N,N,4.11,1.83,0.1,N
11-781,Muesli# Swiss style# no added sugar or salt# unfortified,9.8,5.9,70.7,357,57.7,13,4.6,5.2,Tr,Tr,3.2,0,8.4,8.5,1.19,2.76,1.57,1.6
11-780,Muesli# Swiss style# unfortified,9.2,6.3,72.6,366,51.3,21.3,4.9,5,7.4,Tr,4,,6.7,8.8,1.27,2.97,1.68,1.7
11-1094,Muffins# American style# chocolate chip# homemade,6.3,17.5,53.6,384,25.3,28.2,Tr,Tr,27,0,1.2,,1.6,1.3,10.37,5,0.84,62.2
11-737,Muffins# American# chocolate# retail,5.5,25.4,49.5,436,18.4,30.9,0.6,0.1,28.3,0.4,1.5,0,0.8,1,4.83,12.95,6.48,44.8
11-738,Muffins# American# not chocolate# retail,5,19.5,47.8,375,19.8,27.7,1,0.7,24.3,0.9,0.9,0,1,1.8,2.4,10.3,5.71,46.4
11-1095,Muffins# bran# homemade,8.2,7,44.5,263,27.2,17.3,1.3,1.3,12.7,0,1.8,,7.4,9.2,3.5,1.72,0.9,46.7
11-541,Muffins# English style# white,10,1.9,44.2,223,40.8,3.4,0.5,0.8,Tr,2.1,Tr,0,1.9,2.6,0.38,0.46,0.62,0
11-542,Muffins# English style# white# toasted,11.3,2.7,51,261,47.3,3.8,0.5,0.8,Tr,2.4,Tr,0,2.2,3,0.43,0.53,0.71,0
14-168,Mulberries# whole fruit# raw,1.3,Tr,8.1,36,0,8.1,3.8,4.3,Tr,0,0,,N,,N,N,N,0
14-169,Mulberries# whole fruit# stewed with sugar,1,Tr,16.2,65,0,16.2,3.5,3.9,8.9,0,0,,N,,Tr,Tr,Tr,0
14-170,Mulberries# whole fruit# stewed without sugar,1.1,Tr,6.9,30,0,6.9,3.3,3.7,Tr,0,0,,N,,Tr,Tr,Tr,0
16-096,Mullet# Grey# flesh only# grilled,25.7,5.2,0,150,0,0,0,0,0,0,0,,0,,1.4,1.2,0.7,44
16-095,Mullet# Grey# flesh only# raw,19.8,4,0,115,0,0,0,0,0,0,0,,0,,1.1,0.9,0.5,34
16-097,Mullet# Grey# grilled# weighed with bones and skin,14.1,2.9,0,82,0,0,0,0,0,0,0,,0,,0.8,0.6,0.4,24
16-099,Mullet# Red# flesh only# grilled,20.4,4.4,0,121,0,0,0,0,0,0,0,,0,,N,N,N,N
16-100,Mullet# Red# flesh only# grilled# weighed with bones and skin,9.6,2.1,0,57,0,0,0,0,0,0,0,,0,,N,N,N,N
16-098,Mullet# Red# flesh only# raw,18.7,3.8,0,109,0,0,0,0,0,0,0,,0,,N,N,N,N
17-416,Mushroom# dried,21.8,6,4.8,159,1.2,3.6,1.2,1.2,1.2,0,0,0,13.3,,1.2,Tr,3.6,0
13-288,Mushrooms# Chinese# dried# raw,10,1.8,59.9,284,N,N,N,N,N,0,0,,N,,N,N,N,0
13-289,Mushrooms# Jews ear# tender# dried# raw,6.9,1,62.4,279,N,N,N,N,N,0,0,,N,,N,N,N,0
13-290,Mushrooms# Jews ear# tender# dried# soaked# raw,0.7,0.7,5.7,29,N,N,N,N,N,0,0,,N,,N,N,N,0
13-291,Mushrooms# Jews ear# tough# dried# raw,4.8,2,68.7,325,N,N,N,N,N,0,0,,N,,N,N,N,0
13-292,Mushrooms# Jews ear# tough# dried# soaked# raw,1.1,0.2,15.1,76,N,N,N,N,N,0,0,,N,,N,N,N,0
13-293,Mushrooms# oyster# raw,1.6,0.2,Tr,8,Tr,Tr,Tr,Tr,Tr,0,0,,N,,Tr,Tr,0.1,0
13-295,Mushrooms# shiitake# cooked,1.6,0.2,12.3,55,N,N,N,N,N,0,0,,N,,0.1,0.1,Tr,0
13-294,Mushrooms# shiitake# dried# raw,9.6,1,63.9,296,N,N,N,N,N,0,0,,N,,0.2,0.3,0.1,0
13-546,Mushrooms# white# fried in corn oil,1.4,11,0.4,106,0,0.4,Tr,0.4,Tr,0,0,,1.7,1,1.6,3.23,5.65,0
13-507,Mushrooms# white# fried in rapeseed oil,1.4,11,0.4,106,Tr,0.4,Tr,0.4,Tr,0,0,0,1.7,1,0.75,6.4,3.27,0
13-545,Mushrooms# white# fried in salted butter,1.4,11,0.4,106,Tr,0.4,Tr,0.4,Tr,0,0.1,0,1.7,1,7.36,2.68,0.34,25
13-505,Mushrooms# white# raw,1,0.2,0.3,7,Tr,0.3,Tr,0.3,Tr,0,0,0,1.2,0.7,0.04,Tr,0.11,0
13-506,Mushrooms# white# stewed in unsalted water,1.4,0.3,0.1,9,0.1,Tr,Tr,Tr,Tr,0,0,,2,2.6,0.08,Tr,0.17,0
16-411,Mussels in white wine sauce# cooked,9.7,3.2,3.7,82,2.9,0.8,0,0,0,0,0.8,0.2,Tr,Tr,1.26,0.75,0.89,25
16-390,Mussels# purchased cooked,17.7,2.2,3.5,104,Tr,Tr,0,0,0,0,0,0,0,0,0.34,0.26,0.62,45
16-497,Mussels# raw,12.1,1.8,2.5,74,Tr,Tr,0,0,0,0,0,0,0,0,0.4,0.3,0.6,41
13-297,Mustard and cress# raw,1.6,0.6,0.4,13,Tr,0.4,N,N,N,0,0,0,1.1,N,Tr,0.2,0.2,0
13-299,Mustard leaves# boiled in unsalted water,2,0.2,1.9,17,1.4,0.5,0.3,0.2,Tr,0,0,,N,,Tr,0.1,Tr,0
13-298,Mustard leaves# raw,2.5,0.3,3.6,27,2.8,0.8,0.4,0.3,Tr,0,0,,N,,Tr,0.1,0.1,0
17-362,Mustard powder,28.9,28.7,20.7,452,N,N,N,N,N,0,0,0,N,N,1.5,19.8,5.4,0
13-839,Mustard seeds,24.9,28.8,N,N,N,N,N,N,N,0,0,,N,,1.5,19.8,5.4,0
17-363,Mustard# powder# made up,14.5,14.4,10.4,226,N,N,N,N,N,0,0,0,N,,0.8,9.9,2.7,0
17-364,Mustard# smooth,7.1,8.2,9.7,139,1.9,7.8,3.4,2.9,1.5,0,0,0,N,N,0.5,5.8,1.6,0
17-365,Mustard# wholegrain,8.2,10.2,4.2,140,0.3,3.9,2,1.9,Tr,0,0,0,4.9,N,0.6,7.2,1.9,0
14-380,Nectarines# flesh and skin# raw,1,0.3,9.8,43,0,9.8,2.1,2.1,5.6,0,0,0,1.2,1.3,0.02,0.08,0.11,0
14-381,Nectarines# flesh and skin# raw# weighed with stones,0.9,0.3,9,40,0,9,1.9,1.9,5.2,0,0,0,1.1,1.2,0.02,0.08,0.1,0
